2026-08-04 23:04:27 | INFO     | Reading schema : States
2026-08-04 23:04:27 | INFO     | SUCCESS : States schema loaded
2026-08-04 23:04:27 | INFO     | SUCCESS : Column Validation Passed
2026-08-04 23:04:27 | INFO     | Reading schema : States
2026-08-04 23:04:27 | INFO     | SUCCESS : States schema loaded
2026-08-04 23:04:27 | INFO     | SUCCESS : Primary Key Validation Passed
2026-08-04 23:04:27 | INFO     | Reading schema : States
2026-08-04 23:04:27 | INFO     | SUCCESS : States schema loaded
2026-08-04 23:04:27 | INFO     | SUCCESS : Null Validation Passed
2026-08-04 23:04:27 | INFO     | Reading schema : States
2026-08-04 23:04:27 | INFO     | SUCCESS : States schema loaded
2026-08-04 23:04:27 | INFO     | SUCCESS : Datatype Validation Passed
2026-08-04 23:04:27 | INFO     | SUCCESS : States validation completed
2026-08-04 23:04:27 | INFO     | Reading schema : States
2026-08-04 23:04:27 | INFO     | SUCCESS : States schema loaded
2026-08-04 23:04:27 | INFO     | Clearing States
2026-08-04 23:04:27 | INFO     | SUCCESS : States cleared
2026-08-04 23:04:27 | INFO     | Inserting States
2026-08-04 23:04:27 | INFO     | SUCCESS : 36 rows inserted into States
2026-08-04 23:04:27 | INFO     | SUCCESS : States Loaded Successfully
2026-08-04 23:04:27 | INFO     | ============================================================
2026-08-04 23:04:27 | INFO     | Loading Cities
2026-08-04 23:04:27 | INFO     | ============================================================
2026-08-04 23:04:27 | INFO     | Validating Cities
2026-08-04 23:04:27 | INFO     | SUCCESS : cities.csv found.
2026-08-04 23:04:27 | INFO     | Reading schema : Cities
2026-08-04 23:04:27 | INFO     | SUCCESS : Cities schema loaded
2026-08-04 23:04:27 | ERROR    | Unexpected Columns : ['CityID']
2026-08-04 23:04:27 | INFO     | Database Connection Closed
2026-08-04 23:13:48 | INFO     | ======================================================================
2026-08-04 23:13:48 | INFO     | REFERENCE DATA ETL STARTED
2026-08-04 23:13:48 | INFO     | ======================================================================
2026-08-04 23:13:48 | INFO     | ============================================================
2026-08-04 23:13:48 | INFO     | Loading States
2026-08-04 23:13:48 | INFO     | ============================================================
2026-08-04 23:13:48 | INFO     | Validating States
2026-08-04 23:13:48 | INFO     | SUCCESS : states.csv found.
2026-08-04 23:13:48 | INFO     | Reading schema : States
2026-08-04 23:13:48 | INFO     | SUCCESS : States schema loaded
2026-08-04 23:13:48 | INFO     | SUCCESS : Column Validation Passed
2026-08-04 23:13:48 | INFO     | Reading schema : States
2026-08-04 23:13:48 | INFO     | SUCCESS : States schema loaded
2026-08-04 23:13:48 | INFO     | SUCCESS : Primary Key Validation Passed
2026-08-04 23:13:48 | INFO     | Reading schema : States
2026-08-04 23:13:48 | INFO     | SUCCESS : States schema loaded
2026-08-04 23:13:48 | INFO     | SUCCESS : Null Validation Passed
2026-08-04 23:13:48 | INFO     | Reading schema : States
2026-08-04 23:13:48 | INFO     | SUCCESS : States schema loaded
2026-08-04 23:13:48 | INFO     | SUCCESS : Datatype Validation Passed
2026-08-04 23:13:48 | INFO     | SUCCESS : States validation completed
2026-08-04 23:13:48 | INFO     | Reading schema : States
2026-08-04 23:13:48 | INFO     | SUCCESS : States schema loaded
2026-08-04 23:13:48 | INFO     | Clearing States
2026-08-04 23:13:48 | INFO     | SUCCESS : States cleared
2026-08-04 23:13:48 | ERROR    | insert_data() missing 1 required positional argument: 'schema'
2026-08-04 23:13:48 | INFO     | Database Connection Closed
2026-08-04 23:16:38 | INFO     | ======================================================================
2026-08-04 23:16:38 | INFO     | REFERENCE DATA ETL STARTED
2026-08-04 23:16:38 | INFO     | ======================================================================
2026-08-04 23:16:38 | INFO     | ============================================================
2026-08-04 23:16:38 | INFO     | Loading States
2026-08-04 23:16:38 | INFO     | ============================================================
2026-08-04 23:16:38 | INFO     | Validating States
2026-08-04 23:16:38 | INFO     | SUCCESS : states.csv found.
2026-08-04 23:16:38 | INFO     | Reading schema : States
2026-08-04 23:16:38 | INFO     | SUCCESS : States schema loaded
2026-08-04 23:16:38 | INFO     | SUCCESS : Column Validation Passed
2026-08-04 23:16:38 | INFO     | Reading schema : States
2026-08-04 23:16:38 | INFO     | SUCCESS : States schema loaded
2026-08-04 23:16:38 | INFO     | SUCCESS : Primary Key Validation Passed
2026-08-04 23:16:38 | INFO     | Reading schema : States
2026-08-04 23:16:38 | INFO     | SUCCESS : States schema loaded
2026-08-04 23:16:38 | INFO     | SUCCESS : Null Validation Passed
2026-08-04 23:16:38 | INFO     | Reading schema : States
2026-08-04 23:16:38 | INFO     | SUCCESS : States schema loaded
2026-08-04 23:16:38 | INFO     | SUCCESS : Datatype Validation Passed
2026-08-04 23:16:38 | INFO     | SUCCESS : States validation completed
2026-08-04 23:16:38 | INFO     | Reading schema : States
2026-08-04 23:16:38 | INFO     | SUCCESS : States schema loaded
2026-08-04 23:16:38 | INFO     | Clearing States
2026-08-04 23:16:38 | INFO     | SUCCESS : States cleared
2026-08-04 23:16:38 | INFO     | Inserting States
2026-08-04 23:16:38 | INFO     | SUCCESS : 36 rows inserted into States
2026-08-04 23:16:38 | INFO     | SUCCESS : States Loaded Successfully
2026-08-04 23:16:38 | INFO     | ============================================================
2026-08-04 23:16:38 | INFO     | Loading Cities
2026-08-04 23:16:38 | INFO     | ============================================================
2026-08-04 23:16:38 | INFO     | Validating Cities
2026-08-04 23:16:38 | INFO     | SUCCESS : cities.csv found.
2026-08-04 23:16:38 | INFO     | Reading schema : Cities
2026-08-04 23:16:38 | INFO     | SUCCESS : Cities schema loaded
2026-08-04 23:16:38 | INFO     | SUCCESS : Column Validation Passed
2026-08-04 23:16:38 | INFO     | Reading schema : Cities
2026-08-04 23:16:38 | INFO     | SUCCESS : Cities schema loaded
2026-08-04 23:16:38 | INFO     | SUCCESS : Primary Key Validation Passed
2026-08-04 23:16:38 | INFO     | Reading schema : Cities
2026-08-04 23:16:38 | INFO     | SUCCESS : Cities schema loaded
2026-08-04 23:16:38 | INFO     | SUCCESS : Null Validation Passed
2026-08-04 23:16:38 | INFO     | Reading schema : Cities
2026-08-04 23:16:38 | INFO     | SUCCESS : Cities schema loaded
2026-08-04 23:16:38 | INFO     | SUCCESS : Datatype Validation Passed
2026-08-04 23:16:38 | INFO     | SUCCESS : Cities validation completed
2026-08-04 23:16:38 | INFO     | Reading schema : Cities
2026-08-04 23:16:38 | INFO     | SUCCESS : Cities schema loaded
2026-08-04 23:16:38 | INFO     | Clearing Cities
2026-08-04 23:16:38 | INFO     | SUCCESS : Cities cleared
2026-08-04 23:16:38 | INFO     | Inserting Cities
2026-08-04 23:16:38 | INFO     | SUCCESS : 47 rows inserted into Cities
2026-08-04 23:16:38 | INFO     | SUCCESS : Cities Loaded Successfully
2026-08-04 23:16:38 | INFO     | ============================================================
2026-08-04 23:16:38 | INFO     | Loading Categories
2026-08-04 23:16:38 | INFO     | ============================================================
2026-08-04 23:16:38 | INFO     | Validating Categories
2026-08-04 23:16:38 | INFO     | SUCCESS : categories.csv found.
2026-08-04 23:16:38 | INFO     | Reading schema : Categories
